日期,星期,上班时间,下班时间,加班时间
2026-07-07,周二,10:08:53,20:46:14,3小时26分钟
2026-07-08,周三,08:27:15,19:51:55,2小时31分钟
2026-07-09,周四,08:27:18,17:29:24,9分钟
2026-07-10,周五,08:25:03,17:36:56,16分钟
2026-07-13,周一,08:18:12,18:44:20,1小时24分钟
2026-07-14,周二,08:22:03,18:17:41,57分钟
2026-07-15,周三,08:27:15,20:47:51,3小时27分钟
2026-07-16,周四,08:28:38,18:39:52,1小时19分钟
2026-07-17,周五,08:26:47,17:59:45,39分钟
2026-07-20,周一,08:26:40,19:36:01,2小时16分钟
2026-07-21,周二,08:26:53,19:07:28,1小时47分钟
2026-07-22,周三,08:29:47,18:32:26,1小时12分钟
2026-07-23,周四,08:26:27,19:14:35,1小时54分钟
2026-07-24,周五,08:26:26,19:33:32,2小时13分钟
2026-07-27,周一,08:26:33,19:07:47,1小时47分钟
2026-07-28,周二,08:27:38,18:28:37,1小时8分钟
2026-07-29,周三,08:30:29,20:46:46,3小时26分钟
2026-07-30,周四,08:27:16,19:54:16,2小时34分钟
2026-07-31,周五,08:29:58,20:20:05,3小时
2026-08-03,周一,08:29:56,18:26:58,1小时6分钟
2026-08-04,周二,08:23:31,18:32:01,1小时12分钟
2026-08-05,周三,08:09:15,21:52:00,4小时32分钟
2026-08-06,周四,08:27:52,18:41:23,1小时21分钟
2026-08-07,周五,08:27:14,18:06:19,46分钟
2026-08-11,周二,08:31:36,18:14:12,54分钟
2026-08-12,周三,08:31:15,18:28:50,1小时8分钟
2026-08-13,周四,08:13:24,21:22:40,4小时2分钟
2026-08-14,周五,08:22:05,19:33:05,2小时13分钟
2026-08-17,周一,08:28:04,22:27:10,5小时7分钟
2026-08-18,周二,08:22:34,22:04:19,4小时44分钟
2026-08-19,周三,08:31:37,21:40:22,4小时20分钟
2026-08-20,周四,08:25:17,22:47:56,5小时27分钟
2026-08-21,周五,08:29:50,22:10:28,4小时50分钟
2026-08-22,周六,14:08:35,21:12:50,7小时4分钟
2026-08-23,周日,12:19:22,19:15:41,6小时56分钟
2026-08-24,周一,08:27:53,21:07:03,3小时47分钟
2026-08-25,周二,08:06:19,18:39:34,1小时19分钟
